id,"sentence"
65,"The force of a missile hitting an orbiting object is much much more violent than the force of a bullet striking a target , or even an anti-aircraft missile an airplane ."
66,"Overall Buzz strikes a good balance between the big news sites and smaller sources ."
67,"The Houthis , who deny government charges that Iran supports , complain of religious , and economic and social deprivation ."
68,"It is estimated that approximately adults living in NI suffer from autism ."
69,"Time to finally break the ."
70,"And while Jimmie Johnson 's back-to-back NASCAR championships are no doubt impressive , there 's no drafting in golf as there is in stock car racing , no teamwork that could result in the kind of "" Push From Heaven "" that determined the outcome of the Daytona 500 ."
71,""" I think that it 's wrong to kill old ladies and gentlemen , she told BBC Radio 4 's Today programme ."
72,"The Women for Deeds event , at the Northern Virginia Community College campus in Annandale , the first of three this week at which Deeds will highlight Republican Governor Robert F. McDonnell 's history on the issue ."
73,"Why are they so adamant about the internet ."
74,"In all , China shipped about 1.3 million pounds ( 595,000 kilograms ) of jewelry abroad in 2008--a 15 percent decrease from the previous year , according to the Hong Kong-based consulting firm Global Sources ."
75,"The AWCC is now at the forefront of the country 's phone boom and is thought to have made Mr Bayat a billionaire ."
76,"JEM has been holding a series of discussions with Sudan 's government in Qatar ."
77,"Nine law lords have unanimously ruled that it was that individuals are not told the case against them ."
78,"The Ministry of National Defence ( MoD ) Pte Laws was on the front line in Afghanistan within a year of finishing basic training , which was a "" tremendous undertaking . """
79,"It shouldn 't have made a difference , but it did ."
80,"Georgia 's pro-Western government is locked in a confrontation with Russia over the two Georgian regions -- South Ossetia and Abkhazia -- which have rejected Tbilisi 's rule and are receiving support from ."
81,"Bill Dodge , who joined the Company in September 2008 , was most recently General Manager of Patagonia Footwear and has a unique blend of experience in the outdoor footwear and equipment markets , including past management roles at Salomon , Timberland and New Balance . In this new role as Vice President - Product Development , Bill Dodge will leverage the of the Outdoor Group and its world-class design , development , supplier and industry partnerships to drive market-leading footwear innovation and development for the Merrell , Patagonia Footwear and Chaco brands ."
82,"On the plus side , SW19 still looks pretty as a peach ..."
83,""" I would like to tell American wine consumers that the Loire has an extraordinary richness in different ground make-up and grape varieties , of their flavors and scents , "" he said ."
84,"Later John Cage , the composer of the score and the late choreographer 's closest artistic colleague , explained to what she had never known during rehearsals -- that in "" Second Hand "" Mr. Cunningham was Socrates approaching his death ."
85,"American Evan Lysacek upset men 's figure skating champion Evgeni Plushenko of Russia ."
86,"It is unclear whether the New York City Fed acted out of concern for the or for its own political position ."
87,"Although most patients are not aware of programs like , doctors and hospitals are ."
88,"Hats Many of the spring and early summer 2009 shows feature ."
89,"They played and chatted with all the children ; Southworth was with one little girl when Ala 'a dragged his body to the soldier 's side ."
90,""" But we take it on the chin and make the best out of it tomorrow , "" he added ."
91,"He also accused the Opposition of seeming "" indifferent "" to the ."
92,"The kidnapping charge carries a maximum sentence of five years in prison while the assault and battery charge also carries a maximum sentence ."
93,"He died in July at at the age of ."
94,"Mr Cameron said that the key to boosting educational performance was improving the standards of teaching , and said that heads would be given freedom to pay more to the best teachers ."
95,"( AP ) - A 23-year-old man was charged with murder Friday after a of fatal shootings that led police to warn people who knew him to flee from the area ."
96,"But the IAEA report also noted that Iran 's production of enriched uranium has continued at a steady pace and has , in fact , significantly exceeded Iran 's previous projections ."
97,"He will say the results of tests taken at school would be more accurate and useful and could also help reduce duplication as many secondary schools already test new pupils ."
98,"I am one out of the million people who own campaign ."
99,"FAA and National Transportation and Safety Board investigators will be on the scene on Saturday , Gregor ."
100,"New laws in Seattle and California 's Santa and San Francisco are scheduled to go into effect later this year , including some more stringent than New York City 's , requiring restaurants to post information about sodium , carbs , fats and cholesterol in addition to calories ."
101,"But political priorities couldn t 't have been further away ."
102,"Both Google and the Indian Premier League ( IPL ) will share revenues from sponsorships and advertising jointly ."
103,"Garcia-Lopez 1-2 * Federer He 's settling in on Centre Court now ."
104,"( AP ) A 107-year-old man who once turned down a job offer from inventor Thomas Edison has been chosen to lead a parade at the Massachusetts prep school he graduated from 90 years ago ."
105,"She said it would be especially unfair to punish the 1.7 million Floridians who in the Democratic primary since the contest 's date was moved up by the Republican-controlled Florida state Legislature and the state 's Republican governor ."
106,""" I think all sides reached a very happy compromise , and certainly Spike delivered a movie that was so true to the book , yet it generated the emotion that we felt strongly enough about to bring in our family audience , as well , "" said Dan Fellman head of distribution for Warner ."
107,"Unfortunately when humility is most needed , it is often the most out of practice ."
108,"Evgeni Malkin scored in the third period to extend points streak to 11 games ."
109,"Students attending public colleges have also faced steep cost increases , in large part because state governments have become in providing support ."
110,"And this year , we 're looking forward to having another place at our Thanksgiving table with a son-in-law , "" he said ."
111,"Borrowers are warned that the market is not likely to pick back up any time soon ."
112,"Curry scored 30 points , including 25 in the second half , as No. Davidson rallied to upset No. 2 seed Georgetown , 74-70 , on Sunday in a Midwest Region second-round game at the RBC Center ."
113,"BAGHDAD ( Reuters ) - The U.S. military said on Friday that it had released nine Iranians held in Iraq , days after U.S. officials signaled a possible change in approach by noting developments in Iran 's involvement in Iraq ."
114,"Hardest hit by Hanna was the city of Gonaives , which was flooded with up to 16ft of water that has only just now begun to ."
115,"The duty , or APD , is not imposed on cargo flights or private jets and ignores the load factor and the aircraft type ."
